M020-kode;M020-navn
NiN-3.0-T-C-PE-NA-MB-TA02-M020-01;kalkfattig åpen grunnlendt mark
NiN-3.0-T-C-PE-NA-MB-TA02-M020-02;intermediær til litt kalkrik åpen grunnlendt mark
NiN-3.0-T-C-PE-NA-MB-TA02-M020-03;temmelig til ekstremt kalkrik åpen grunnlendt mark
NiN-3.0-T-C-PE-NA-MB-TA03-M020-01;kalkfattig leside
NiN-3.0-T-C-PE-NA-MB-TA03-M020-02;intermediær til litt kalkrik leside
NiN-3.0-T-C-PE-NA-MB-TA03-M020-03;temmelig til ekstremt kalkrik leside
NiN-3.0-T-C-PE-NA-MB-TA03-M020-04;kalkfattig fjell-lavhei og -lynghei
NiN-3.0-T-C-PE-NA-MB-TA03-M020-05;intermediær til litt kalkrik fjell-lavhei og -lynghei
NiN-3.0-T-C-PE-NA-MB-TA03-M020-06;temmelig til ekstremt kalkrik fjell-lavhei og -lynghei
NiN-3.0-T-C-PE-NA-MB-TA03-M020-07;saltanriket fjell-lavhei og -lynghei
NiN-3.0-T-C-PE-NA-MB-TA04-M020-01;kalkfattig arktisk-alpin grasmark
NiN-3.0-T-C-PE-NA-MB-TA04-M020-02;intermediær til litt kalkrik arktisk-alpin grasmark
NiN-3.0-T-C-PE-NA-MB-TA04-M020-03;temmelig til ekstremt kalkrik arktisk-alpin grasmark
NiN-3.0-T-C-PE-NA-MB-TB01-M020-01;blåbær-bærlyngskog
NiN-3.0-T-C-PE-NA-MB-TB01-M020-02;lågurt-bærlyng-lågurtskog
NiN-3.0-T-C-PE-NA-MB-TB01-M020-03;frisk kalkskog og kalk-bærlyngskog
NiN-3.0-T-C-PE-NA-MB-TB01-M020-04;lyng- og lavskog
NiN-3.0-T-C-PE-NA-MB-TB01-M020-05;lyng- og lav-lågurtskog
NiN-3.0-T-C-PE-NA-MB-TB01-M020-06;kalklyng- og kalklavskog
NiN-3.0-T-C-PE-NA-MB-TC01-M020-01;kalkfattig til litt kalkrikt strandberg
NiN-3.0-T-C-PE-NA-MB-TC01-M020-02;sterkt kalkrikt strandberg
NiN-3.0-T-C-PE-NA-MB-TC02-M020-01;knapt uttørkingseksponert kalkfattig grotte og overheng
NiN-3.0-T-C-PE-NA-MB-TC02-M020-02;knapt uttørkingseksponert intermediært til litt kalkrik grotte og overheng
NiN-3.0-T-C-PE-NA-MB-TC02-M020-03;knapt uttørkingseksponert sterkt kalkrik grotte og overheng
NiN-3.0-T-C-PE-NA-MB-TC02-M020-04;uttørkingseksponert kalkfattig overheng
NiN-3.0-T-C-PE-NA-MB-TC02-M020-05;uttørkingseksponert intermediært til litt kalkrikt overheng
NiN-3.0-T-C-PE-NA-MB-TC02-M020-06;uttørkingseksponert sterkt kalkrikt overheng
NiN-3.0-T-C-PE-NA-MB-TC03-M020-01;leirestrand i geolittoral
NiN-3.0-T-C-PE-NA-MB-TC03-M020-02;siltstrand i geolittoral
NiN-3.0-T-C-PE-NA-MB-TC03-M020-03;sand-, skjellsand-, grus-, og ruglebunn-strand i geo- til supralittoral
NiN-3.0-T-C-PE-NA-MB-TC03-M020-04;stein- til blokkstrand i geo- til supralittoral
NiN-3.0-T-C-PE-NA-MB-TC03-M020-05;storblokket strand i geo- til supralittoral
NiN-3.0-T-C-PE-NA-MB-TC04-M020-01;saltanrikningsmark
NiN-3.0-T-C-PE-NA-MB-TC05-M020-01;strandeng
NiN-3.0-T-C-PE-NA-MB-TC05-M020-02;brakkvanns-strandeng
NiN-3.0-T-C-PE-NA-MB-TC06-M020-01;fuglefjell-eng
NiN-3.0-T-C-PE-NA-MB-TC07-M020-01;fugletopp
NiN-3.0-T-C-PE-NA-MB-TC08-M020-01;kalkfattig moderat til seint snøleie
NiN-3.0-T-C-PE-NA-MB-TC08-M020-02;intermediært til litt kalkrikt moderat til seint snøleie
NiN-3.0-T-C-PE-NA-MB-TC08-M020-03;sterkt kalkrikt moderat til seint snøleie
NiN-3.0-T-C-PE-NA-MB-TC08-M020-04;fattig til litt kalkrikt ekstrem-snøleie
NiN-3.0-T-C-PE-NA-MB-TC08-M020-05;sterkt kalkrikt ekstrem-snøleie
NiN-3.0-T-C-PE-NA-MB-TD01-M020-01;kalkfattig sand- og grus-rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-02;intermediær til litt kalkrik sand- og grus-rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-03;sterkt kalkrik sand- og grus-rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-04;kalkfattig stein til storblokket rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-05;intermediær til litt kalkrik stein til storblokket rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-06;sterkt kalkrik stein til storblokket rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-07;kalkfattig storblokket tørke-eksponert rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-08;intermediær til litt kalkrik storblokket tørke-eksponert rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M020-09;sterkt kalkrik storblokket tørke-eksponert rasmark
NiN-3.0-T-C-PE-NA-MB-TD02-M020-01;flomskredmark
NiN-3.0-T-C-PE-NA-MB-TD03-M020-01;kalkfattig rasmarkeng og -hei
NiN-3.0-T-C-PE-NA-MB-TD03-M020-02;intermediær til litt kalkrik rasmarkeng og -hei
NiN-3.0-T-C-PE-NA-MB-TD03-M020-03;klart kalkrik rasmarkeng og -hei
NiN-3.0-T-C-PE-NA-MB-TD04-M020-01;intermediær til litt kalkrik fosse-eng med fossestøv og -tåkepreg
NiN-3.0-T-C-PE-NA-MB-TD04-M020-02;klart kalkrik fosse-eng med fossestøv og -tåkepreg
NiN-3.0-T-C-PE-NA-MB-TD04-M020-03;intermediær til litt kalkrik fosse-eng med fosseyrpreg
NiN-3.0-T-C-PE-NA-MB-TD04-M020-04;klart kalkrik fosse-eng med fosseyrpreg
NiN-3.0-T-C-PE-NA-MB-TD05-M020-01;sterkt intermediær til litt kalkrik naturlig beitebetinget eng
NiN-3.0-T-C-PE-NA-MB-TD05-M020-02;klart kalkrik naturlig beitebetinget eng
NiN-3.0-T-C-PE-NA-MB-TD06-M020-01;kalkfattig rabbe
NiN-3.0-T-C-PE-NA-MB-TD06-M020-02;intermediær til litt kalkrik rabbe
NiN-3.0-T-C-PE-NA-MB-TD06-M020-03;klart kalkrik rabbe
NiN-3.0-T-C-PE-NA-MB-TD06-M020-04;saltanriket rabbe
NiN-3.0-T-C-PE-NA-MB-TE01-M020-01;embryonal- primær- og hvit dyne
NiN-3.0-T-C-PE-NA-MB-TE01-M020-02;grå og brun dyne
NiN-3.0-T-C-PE-NA-MB-TE01-M020-03;primær og hvit innlandsdyne
NiN-3.0-T-C-PE-NA-MB-TE01-M020-04;grå og brun innlandsdyne
NiN-3.0-T-C-PE-NA-MB-TE02-M020-01;leir- og siltskred
NiN-3.0-T-C-PE-NA-MB-TE02-M020-02;sandskred
NiN-3.0-T-C-PE-NA-MB-TE02-M020-03;grusskred
NiN-3.0-T-C-PE-NA-MB-TE03-M020-01;intermediær til sterkt kalkrik åpen leire- til grus-flomfastmark
NiN-3.0-T-C-PE-NA-MB-TE03-M020-02;intermediær til litt kalkrik åpen stein- og blokk-flomfastmark
NiN-3.0-T-C-PE-NA-MB-TE03-M020-03;sterkt kalkrik åpen stein- og blokk-flomfastmark
NiN-3.0-T-C-PE-NA-MB-TE04-M020-01;langvarig oversvømt flommark
NiN-3.0-T-C-PE-NA-MB-TE05-M020-01;kalkfattig oppfrysingsmark 
NiN-3.0-T-C-PE-NA-MB-TE05-M020-02;intermediær til litt kalkrik oppfrysingsmark
NiN-3.0-T-C-PE-NA-MB-TE05-M020-03;sterkt kalkrik oppfrysingsmark
NiN-3.0-T-C-PE-NA-MB-TE06-M020-01;marin driftvoll
NiN-3.0-T-C-PE-NA-MB-TE07-M020-01;feskvannsdriftvoll
NiN-3.0-T-C-PE-NA-MB-TE08-M020-01;intermediær til litt kalkrik flommarkseng
NiN-3.0-T-C-PE-NA-MB-TE08-M020-02;klart kalkrik flommarkseng
NiN-3.0-T-C-PE-NA-MB-TE09-M020-01;kalkfattig isinnfrysingsmark
NiN-3.0-T-C-PE-NA-MB-TE09-M020-02;intermediær til litt kalkrik isinnfrysingsmark
NiN-3.0-T-C-PE-NA-MB-TE09-M020-03;klart kalkrik isinnfrysingsmark
NiN-3.0-T-C-PE-NA-MB-TF01-M020-01;sandskogsmark
NiN-3.0-T-C-PE-NA-MB-TF01-M020-02;dyneskogsmark
NiN-3.0-T-C-PE-NA-MB-TF02-M020-01;ferskvanns-flomskogsmark
NiN-3.0-T-C-PE-NA-MB-TF02-M020-02;brakkvanns-flomskogsmark
NiN-3.0-T-C-PE-NA-MB-TG01-M020-01;udifferensierte stedegne grus-løsmasser
NiN-3.0-T-C-PE-NA-MB-TG01-M020-02;fjellhei-, leside- eller grasmarkspregede kalkfattige stedegne grus-løsmasser
NiN-3.0-T-C-PE-NA-MB-TG01-M020-03;fjellhei-, leside- eller grasmarkspregede intermediære til svakt kalkrike stedegne grus-løsmasser
NiN-3.0-T-C-PE-NA-MB-TG01-M020-04;fjellnatur-pregede sterkt kalkrike stedegne grus-løsmasser
NiN-3.0-T-C-PE-NA-MB-TG01-M020-05;udifferensiert stedegen stein- og blokkmark
NiN-3.0-T-C-PE-NA-MB-TG01-M020-06;rabbe- og snøleiepreget kalkfattig til svakt kalkrik stedegen stein- og blokkmark
NiN-3.0-T-C-PE-NA-MB-TG01-M020-07;rabbe- og snøleiepreget sterkt kalkrik stedegen stein- og blokkmark
NiN-3.0-T-C-PE-NA-MB-TG01-M020-08;moreneblokkmark
NiN-3.0-T-C-PE-NA-MB-TG01-M020-09;udifferensiert grus-, stein- og blokkstrand
NiN-3.0-T-C-PE-NA-MB-TG01-M020-10;rabbe- og grasmarkspreget  grus-, stein- og blokkstrand
NiN-3.0-T-C-PE-NA-MB-TG01-M020-11;skogsmarkspreget  grus-, stein- og blokkstrand
NiN-3.0-T-C-PE-NA-MB-TG01-M020-12;breforland og snøavsmeltingsområde
NiN-3.0-T-C-PE-NA-MB-TG01-M020-13;konsoliderte marine bresedimenter
NiN-3.0-T-C-PE-NA-MB-TG01-M020-14;historisk silt- og leirskred
NiN-3.0-T-C-PE-NA-MB-TG01-M020-15;historisk skred av sand og grus
NiN-3.0-T-C-PE-NA-MB-TG01-M020-16;historisk steinskred
NiN-3.0-T-C-PE-NA-MB-TG01-M020-17;historisk jordskred
NiN-3.0-T-C-PE-NA-MB-TG01-M020-18;synkehull i permafrost
NiN-3.0-T-C-PE-NA-MB-TG01-M020-19;flomskredmateriale
NiN-3.0-T-C-PE-NA-MB-TH01-M020-01;kalkfattig avskoget hei og eng i leside
NiN-3.0-T-C-PE-NA-MB-TH01-M020-02;intermediær til litt kalkrik avskoget hei og eng i leside
NiN-3.0-T-C-PE-NA-MB-TH01-M020-03;klart kalkrik avskoget hei og eng i leside
NiN-3.0-T-C-PE-NA-MB-TH01-M020-04;kalkfattig avskoget  fjell-lynghei og -lavhei
NiN-3.0-T-C-PE-NA-MB-TH01-M020-05;intermediær til litt kalkrik avskoget fjell-lynghei og -lavhei
NiN-3.0-T-C-PE-NA-MB-TH01-M020-06;klart kalkrik avskoget fjell-lynghei
NiN-3.0-T-C-PE-NA-MB-TI01-M020-01;grøftet eller markforstyrret klart endret ikke-kalkrik skog
NiN-3.0-T-C-PE-NA-MB-TI01-M020-02;grøftet eller markforstyrret klart endret kalkskog
NiN-3.0-T-C-PE-NA-MB-TI01-M020-03;hugd eller treslagstypeskiftet klart endret ikke-kalkrik skog 
NiN-3.0-T-C-PE-NA-MB-TI01-M020-04;hugd eller treslagstypeskiftet klart endret kalkskog
NiN-3.0-T-C-PE-NA-MB-TK01-M020-01;kalkfattig semi-naturlig eng med åpent tresjikt
NiN-3.0-T-C-PE-NA-MB-TK01-M020-02;svakt kalkrik semi-naturlig eng med åpent tresjikt
NiN-3.0-T-C-PE-NA-MB-TK01-M020-03;klart kalkrik semi-naturlig eng med åpent tresjikt
NiN-3.0-T-C-PE-NA-MB-TK01-M020-04;kalkfattig åpen semi-naturlig eng
NiN-3.0-T-C-PE-NA-MB-TK01-M020-05;svakt kalkrik åpen semi-naturlig eng
NiN-3.0-T-C-PE-NA-MB-TK01-M020-06;klart kalkrik åpen semi-naturlig eng
NiN-3.0-T-C-PE-NA-MB-TK01-M020-07;kalkrik åpen semi-naturlig eng på stabilisert sand
NiN-3.0-T-C-PE-NA-MB-TK02-M020-01;semi-naturlig strandeng
NiN-3.0-T-C-PE-NA-MB-TK03-M020-01;kalkfattig bakli-hei og kystlynghei
NiN-3.0-T-C-PE-NA-MB-TK03-M020-02;intermediær til litt kalkrik bakli-hei og kystlynghei
NiN-3.0-T-C-PE-NA-MB-TK03-M020-03;sterkt kalkrik kystlynghei
NiN-3.0-T-C-PE-NA-MB-TL01-M020-01;kalkfattig ny eng med semi-naturlig preg
NiN-3.0-T-C-PE-NA-MB-TL01-M020-02;intermediær til litt kalkrik ny eng med semi-naturlig preg
NiN-3.0-T-C-PE-NA-MB-TL01-M020-03;sterkt kalkrik ny eng med semi-naturlig preg
NiN-3.0-T-C-PE-NA-MB-TM01-M020-01;hard sterkt endret fastmark av lite modifisert substrat
NiN-3.0-T-C-PE-NA-MB-TM01-M020-02;hulrom i hard sterkt endret fastmark
NiN-3.0-T-C-PE-NA-MB-TM01-M020-03;hard sterkt endret fastmark av sterkt modifisert eller endret substrat
NiN-3.0-T-C-PE-NA-MB-TM02-M020-01;ny hard fastmark på tørrlagt innsjøbunn
NiN-3.0-T-C-PE-NA-MB-TM02-M020-02;ny hard fastmark på tørrlagt elvebunn
NiN-3.0-T-C-PE-NA-MB-TM03-M020-01;sterkt endret fastmark med dekke av jord eller blandet sediment
NiN-3.0-T-C-PE-NA-MB-TM03-M020-02;sterkt endret fastmark med dekke av leire til grus
NiN-3.0-T-C-PE-NA-MB-TM03-M020-03;sterkt endret fastmark med dekke av stein til stor blokk
NiN-3.0-T-C-PE-NA-MB-TM03-M020-04;sterkt endret fastmark av substrat preget av kjemisk påvirkning
NiN-3.0-T-C-PE-NA-MB-TM03-M020-05;sterkt endret fastmark av fint organisk avfall
NiN-3.0-T-C-PE-NA-MB-TM03-M020-06;sterkt endret fastmark av grovt organisk avfall
NiN-3.0-T-C-PE-NA-MB-TM03-M020-07;sterkt endret fastmark av  løst, sterkt modifisert eller syntetisk substrat
NiN-3.0-T-C-PE-NA-MB-TM03-M020-08;sterkt endret fastmark av ikke-konsolidert løst, sterkt modifisert eller syntetisk substrat
NiN-3.0-T-C-PE-NA-MB-TM04-M020-01;ny løs fastmark på tørrlagt innsjøbunn
NiN-3.0-T-C-PE-NA-MB-TM04-M020-02;ny løs fastmark på tørrlagt elvebunn
NiN-3.0-T-C-PE-NA-MB-TM05-M020-01;ny løs fastmark på drenert våtmark
NiN-3.0-T-C-PE-NA-MB-TM06-M020-01;sterkt endret skogsmark etter markinngrep
NiN-3.0-T-C-PE-NA-MB-TM06-M020-02;sterkt endret skogsmark i mellomsuksesjonsstadium
NiN-3.0-T-C-PE-NA-MB-TN01-M020-01;blomsterbed og annen hyppig bearbeidet mark
NiN-3.0-T-C-PE-NA-MB-TN02-M020-01;vegkanter, plener, parker og liknende med semi-naturlig hevdpreg
NiN-3.0-T-C-PE-NA-MB-TN03-M020-01;vegkanter, plener, parker og liknende uten semi-naturlig hevdpreg
NiN-3.0-T-C-PE-NA-MB-TO01-M020-01;åker
NiN-3.0-T-C-PE-NA-MB-TO02-M020-01;oppdyrket mark med semi-naturlig engpreg
NiN-3.0-T-C-PE-NA-MB-TO03-M020-01;oppdyrket varig eng
NiN-3.0-T-C-PE-NA-MB-TO04-M020-01;upløyd jordbruksmark med intensivt hevdpreg
NiN-3.0-T-C-PE-NA-MB-VA01-M020-01;svært kalkfattig til svakt intermediær mykmatte til øvre tuenivå
NiN-3.0-T-C-PE-NA-MB-VA01-M020-02;sterkt intermediær til litt kalkrikt mattenivå i myrkant til tuenivå
NiN-3.0-T-C-PE-NA-MB-VA01-M020-03;temmelig til ekstremt kalkrikt mattenivå i myrkant til nedre tuenivå
NiN-3.0-T-C-PE-NA-MB-VA01-M020-04;kalkrikt mattenivå i myrkant med saltpåvirkning
NiN-3.0-T-C-PE-NA-MB-VB01-M020-01;svært kalkfattig til svakt intermediær myr- og sumpskogsmark
NiN-3.0-T-C-PE-NA-MB-VB01-M020-02;sterkt intermediær til litt kalkrik myr- og sumpskogsmark
NiN-3.0-T-C-PE-NA-MB-VB01-M020-03;klart kalkrik myr- og sumpskogsmark
NiN-3.0-T-C-PE-NA-MB-VC01-M020-01;åpen nedbørsmyr uten permafrost
NiN-3.0-T-C-PE-NA-MB-VC01-M020-02;ombrotrof rabbepreget myrtue på permafrost
NiN-3.0-T-C-PE-NA-MB-VC02-M020-01;litt kalkfattig til litt kalkrik torvmarkskilde
NiN-3.0-T-C-PE-NA-MB-VC02-M020-02;klart kalkrik torvmarkskilde
NiN-3.0-T-C-PE-NA-MB-VC03-M020-01;litt kalkfattig til litt kalkrik grunnkilde
NiN-3.0-T-C-PE-NA-MB-VC03-M020-02;klart kalkrik grunnkilde
NiN-3.0-T-C-PE-NA-MB-VC04-M020-01;kalkfattig til litt rikt moderat våtsnøleie og kildepåvirket snøleie
NiN-3.0-T-C-PE-NA-MB-VC04-M020-02;sterkt kalkrikt våtsnøleie og kildepåvirket snøleie
NiN-3.0-T-C-PE-NA-MB-VC04-M020-03;kalkfattig til litt rike seine våtsnøleier og kilde-utgaver av snøleier
NiN-3.0-T-C-PE-NA-MB-VC04-M020-04;sterkt kalkrikt seine våtsnøleier og kilde-utgaver av snøleier
NiN-3.0-T-C-PE-NA-MB-VC05-M020-01;permafrost-våtmark
NiN-3.0-T-C-PE-NA-MB-VE01-M020-01; kalkfattig til litt rik oppfrysingsvåtmark
NiN-3.0-T-C-PE-NA-MB-VE01-M020-02;temmelig til ekstremt kalkrik oppfrysingsvåtmark
NiN-3.0-T-C-PE-NA-MB-VF01-M020-01;nedbørsmyr-skogsmark
NiN-3.0-T-C-PE-NA-MB-VF02-M020-01;kalkfattig til litt rik strandsumpskogsmark
NiN-3.0-T-C-PE-NA-MB-VF02-M020-02;kalkrik strandsumpskogsmark
NiN-3.0-T-C-PE-NA-MB-VF02-M020-03;kalkrik saltpåvirket strandsumpskogsmark
NiN-3.0-T-C-PE-NA-MB-VG01-M020-01;ny naturgitt torvmark med jordvannstilførsel eller kildepreg
NiN-3.0-T-C-PE-NA-MB-VG01-M020-02;ny naturgitt torvmark med innsjø- eller elvevannstilførsel
NiN-3.0-T-C-PE-NA-MB-VG02-M020-01;ny naturgitt grunn våtmark med jordvannstilførsel eller kildepreg
NiN-3.0-T-C-PE-NA-MB-VG02-M020-02;ny naturgitt grunn våtmark med innsjø- eller elvevannstilførsel
NiN-3.0-T-C-PE-NA-MB-VI01-M020-01;kalkfattig til litt kalkrik grøftet våtmarksskogsmark
NiN-3.0-T-C-PE-NA-MB-VI01-M020-02;kalkfattig til litt kalkrik våtmarksskogsmark med treslagsskifte eller tilplanting
NiN-3.0-T-C-PE-NA-MB-VI01-M020-03;temmelig til ekstremt kalkrik grøftet våtmarksskogsmark
NiN-3.0-T-C-PE-NA-MB-VI01-M020-04;temmelig til ekstremt kalkrik våtmarksskogsmark med treslagsskifte eller tilplanting
NiN-3.0-T-C-PE-NA-MB-VK01-M020-01;kalkfattig til intermediær semi-naturlig myr
NiN-3.0-T-C-PE-NA-MB-VK01-M020-02;kalkrik semi-naturlig myr
NiN-3.0-T-C-PE-NA-MB-VK02-M020-01;kalkfattig til litt kalkrik semi-naturlig våteng
NiN-3.0-T-C-PE-NA-MB-VK02-M020-02;klart kalkrik semi-naturlig våteng
NiN-3.0-T-C-PE-NA-MB-VM01-M020-01;kalkfattig til litt kalkrik grøftet jordvannsmyr
NiN-3.0-T-C-PE-NA-MB-VM01-M020-02;klart kalkrik grøftet jordvannsmyr
NiN-3.0-T-C-PE-NA-MB-VM01-M020-03;grøftet nedbørsmyr
NiN-3.0-T-C-PE-NA-MB-VM01-M020-04;jordvannsmyr-torvtak
NiN-3.0-T-C-PE-NA-MB-VM01-M020-05;nedbørsmyr-torvtak
NiN-3.0-T-C-PE-NA-MB-VM02-M020-01;ny torvmark på tidligere ferskvannsbunn
NiN-3.0-T-C-PE-NA-MB-VM03-M020-01;ny torvmark på menneskebetinget forsumpet fastmark
NiN-3.0-T-C-PE-NA-MB-VM04-M020-01;sterkt endret ikke torvproduserende våtmark
NiN-3.0-T-C-PE-NA-MB-VM05-M020-01;ny grunn våtmark på tidligere ferskvannsbunn
NiN-3.0-T-C-PE-NA-MB-VM06-M020-01;ny grunn våtmark på menneskebetinget forsumpet fastmark
NiN-3.0-T-C-PE-NA-MB-VO01-M020-01;sterkt tråkkpreget våtmark
